Task,Short,Normal,Long,Total
prefrontal2,41,21,20,82
prefrontal1,42,28,10,80
gyrus_left_closed_eyes,36,20,23,79
gyrus_right_closed_eyes,35,23,21,79
gyrus_coord,50,21,7,78
