Task,Short,Normal,Long,Total
prefrontal2,12,66,4,82
prefrontal1,11,68,1,80
gyrus_left_closed_eyes,9,66,4,79
gyrus_right_closed_eyes,12,64,3,79
gyrus_coord,18,58,2,78
