Task,Short,Normal,Long,Total
prefrontal2,37,28,17,82
prefrontal1,38,27,15,80
gyrus_left_closed_eyes,33,29,17,79
gyrus_right_closed_eyes,34,28,17,79
gyrus_coord,46,25,7,78
