Task,Short,Normal,Long,Total
prefrontal2,17,61,4,82
prefrontal1,19,59,2,80
gyrus_left_closed_eyes,15,58,6,79
gyrus_right_closed_eyes,17,56,6,79
gyrus_coord,20,53,5,78
