Subject_ID,POW.AF3.Theta,POW.AF3.Alpha,POW.AF3.BetaL,POW.AF3.BetaH,POW.AF3.Gamma,POW.F7.Theta,POW.F7.Alpha,POW.F7.BetaL,POW.F7.BetaH,POW.F7.Gamma,POW.F3.Theta,POW.F3.Alpha,POW.F3.BetaL,POW.F3.BetaH,POW.F3.Gamma,POW.FC5.Theta,POW.FC5.Alpha,POW.FC5.BetaL,POW.FC5.BetaH,POW.FC5.Gamma,POW.T7.Theta,POW.T7.Alpha,POW.T7.BetaL,POW.T7.BetaH,POW.T7.Gamma,POW.P7.Theta,POW.P7.Alpha,POW.P7.BetaL,POW.P7.BetaH,POW.P7.Gamma,POW.O1.Theta,POW.O1.Alpha,POW.O1.BetaL,POW.O1.BetaH,POW.O1.Gamma,POW.O2.Theta,POW.O2.Alpha,POW.O2.BetaL,POW.O2.BetaH,POW.O2.Gamma,POW.P8.Theta,POW.P8.Alpha,POW.P8.BetaL,POW.P8.BetaH,POW.P8.Gamma,POW.T8.Theta,POW.T8.Alpha,POW.T8.BetaL,POW.T8.BetaH,POW.T8.Gamma,POW.FC6.Theta,POW.FC6.Alpha,POW.FC6.BetaL,POW.FC6.BetaH,POW.FC6.Gamma,POW.F4.Theta,POW.F4.Alpha,POW.F4.BetaL,POW.F4.BetaH,POW.F4.Gamma,POW.F8.Theta,POW.F8.Alpha,POW.F8.BetaL,POW.F8.BetaH,POW.F8.Gamma,POW.AF4.Theta,POW.AF4.Alpha,POW.AF4.BetaL,POW.AF4.BetaH,POW.AF4.Gamma,Sleep_Hours
BA1,12.144325165951939,2.274639690815911,0.7768403746193372,0.5342702245113319,0.4134979864284569,14.60545598704567,2.2099567308328525,0.7277587835987762,0.51987967195609,0.44940905705929624,3.4694019560877556,1.1704633878172814,0.6490055184193966,0.5333982100993825,0.4350971439842162,4.471779503215233,1.0425314021715024,0.5641295414071646,0.47717904756655183,0.4241907877861168,1.0941391997878578,1.6170798811344214,1.6628475715553812,0.8306859828750857,0.6724654460720126,4.010418203470507,1.4649846188266773,0.8674158788613492,0.6178785637971509,0.5606307109534947,1.4672321916857272,1.0418309308398797,0.771137298567067,0.7134127624490998,0.7576746477518512,1.1304013853509336,0.7285630826571348,0.5269548803179516,0.4508951098617618,0.43605092048447086,1.697004320695574,0.8343323820563829,0.6247656441315984,0.5504019010020009,0.5025384110113312,2.3665239658333546,1.0005807814016372,0.7466951720115175,0.7026203428838929,0.6181843388790562,9.555107018848148,2.2204485682194908,1.0345177339892004,0.7983906192483252,0.6760535087412415,5.749476897553243,1.6925174530498095,0.9296301213059787,0.7995833394136519,0.6811319715661243,28.608971127928523,4.489397158686241,1.3744187531053074,0.8216414568911277,0.6387204460472675,13.502372364360745,2.444355706756761,0.8757455365063714,0.6469459652798976,0.5385839699777734,7.0
BA11,6.770914448158979,1.6172626458736366,1.0454635691668799,0.80443246097469,0.5725795295338699,9.606546415825667,1.9413199349329118,1.1009579027859755,0.993856078205448,0.8390636847813763,2.90602204399233,1.253728588253743,0.8662944212506755,0.7000215054067858,0.5034776250651816,3.305506632337265,1.2028941998396023,1.1206471885991196,1.3195628299284958,1.07449832301982,1.0276137957133833,0.6586521678819606,0.5720046643115162,0.45023311613119876,0.4183990036536773,1.077695031841547,0.5307088444506741,0.44618394965347125,0.3555395319059767,0.3110487729451814,1.1863535501882476,0.7820440005635831,0.777866768774528,0.5542951056744045,0.4032719551511036,1.5883102375076397,1.084925535957938,1.0099143376961204,0.7042912860312678,0.47900006347860213,1.758988925206963,1.268088398041697,1.0554866725252996,0.7868627426238547,0.5792550060505015,1.9292753708169943,1.2418125097941797,1.0931005915848582,0.7446100705376477,0.5280476789654265,4.063391531731132,1.9863036242771064,1.5325110195551896,1.1216053884228776,0.7899894724282972,4.294924627441469,2.0981158372948125,1.6238728621676028,1.2012723788941235,0.8306311410995042,5.505419001077778,1.6448570719341156,1.038917492606357,0.7032094688488598,0.48798500658877053,7.764490396618645,2.0319061863939627,1.3819964168213423,1.0178136463515424,0.7222998648740672,6.0
BA12,20.162742733121437,3.144942846209522,1.097406201368793,0.6572590107025466,0.4942092366621466,13.848604633512274,2.3501801367003665,0.9906161988511046,0.5720193326679183,0.43648557721610837,4.610763822604227,1.5845757243684193,0.8810386047385841,0.5809029481062049,0.3821666375446917,3.7452254591330885,1.2067547972987773,0.7407923632281452,0.5444359187096408,0.45719787433544357,0.7602180974319541,0.4823289458715087,0.4443427716540614,0.41013407681925906,0.3926688499532065,0.606802938046687,0.4761680184006816,0.4342076338853652,0.36967311111102935,0.33545063395743036,1.2755015531268046,0.8298973205701511,0.5989174319895477,0.42901824390536764,0.31434468616484634,2.327447616229902,1.2687267479826574,0.8275770084433661,0.5311710611997624,0.34765614699997205,1.5771767252465614,1.1256052762781872,0.8769835364249314,0.5799682285331336,0.4217964447314141,2.049035801834174,1.1875023807719636,0.9710069249174962,0.7461914439771279,0.5733988862111489,7.583036233561427,2.339396580345431,1.421682068920954,0.8862561348343795,0.6591750019973265,7.486962484157844,2.47746196004139,1.3989537322057184,0.8968284707823944,0.6291316016780891,12.36780003448513,2.678738542211844,1.2564552251183945,0.7162642123177769,0.5362378626710101,36.523900913860956,5.402104679707057,1.6842227525100633,0.9128839385966897,0.6573182511445231,7.0
BA13,14.260453415023077,2.460906107411216,0.9813700753117949,0.4091772177510487,0.3150638804304485,4.160591718469241,1.2599513168275085,0.7493611336273316,0.4794948249963826,0.7811040734188864,2.689916663316196,0.7943380806914823,0.5035141702994655,0.3199754332773908,0.49532375408558654,2.3303694848835126,0.8284559409132871,0.5449324176131378,0.47484204687152837,1.2743318804969737,2.1388629095159453,0.8242425145747688,0.7619858977106301,0.9076377077947002,0.7535516465186601,0.6323946149720431,0.31897961940104624,0.28612992133190235,0.22655322073398854,0.23053418596766886,0.2637596790267683,0.14706638797509816,0.12237063166285031,0.08212505103309245,0.09001195454608431,0.9649855451576586,0.5957279628123447,0.40088590966140314,0.24010043803483833,0.20694798407209408,0.7051803211369292,0.562352622606737,0.4617478918739796,0.3366052582831711,0.33801705080429656,0.28198040306363265,0.17466794055811755,0.1328412460114101,0.17107767132622576,0.19805716430562678,3.2561037751058444,1.1969074986276729,0.7948960019617869,0.8019785505744662,1.1847236543118185,4.556475918547023,1.5387253645614485,0.9252309105626395,0.596875537682624,0.569217330757963,142.25978689846127,41.67270945595007,18.910155393940368,7.288221439304773,2.896023881425435,6.935639609700503,1.7041223087284625,0.89650787475696,0.5072326490964929,0.40104756467415137,7.0
BA14,3.3921647236842265,1.6617871991923265,1.1919424649550203,0.7906635346096264,0.39944704562287014,1.492003828795626,1.0062689054664469,0.8285135221221396,0.6123996905509482,0.4551764971399454,1.7237355817654818,1.390512838992242,1.1112386360179416,0.8081966205731113,0.4178837623477585,1.521361242172966,1.109074804003457,0.9079300428278807,0.704334058792455,0.5062977550739194,0.8745470869577799,0.635008043873517,0.6885555543102182,0.8063872671727118,0.8053716967829411,2.5022371638278766,1.5515586528950647,1.0962565379693967,0.6566573755656149,0.3999700713609842,0.8521854214570544,1.0375188403286244,0.8813998634157657,0.4572686979366822,0.3443601359868738,1.030213133844085,1.472402654631983,1.1723542589880116,0.5098045427227894,0.3505623589502409,1.2030561027298006,1.273868065096109,1.153388834348656,0.6437435671420308,0.5041927460290432,1.8848603762594633,1.3062863213172087,1.5044129394556394,1.5891182274592304,1.3364054390182665,1.7402849711999535,1.514160427214702,1.40998893502794,1.1764182810126365,0.9159406835402449,2.026583857344937,1.7931900967880234,1.5805887482597654,1.1381360904522682,0.6721826816527643,2.1784895531581165,1.4929168405845983,1.2528641573299457,0.9266216913554542,0.6719564226383572,2.4514553429959496,1.7067934292243245,1.3039168982965614,0.977483433241934,0.545213678433253,7.0
BA15,3.3722782422399877,0.9499313207070094,0.5224222820692075,0.256367124683799,0.15198036734967754,2.288351872863248,0.7924136418815576,0.6958163558447913,0.5131500519474518,0.5378797659975545,1.8609084497485608,0.7566322274733416,0.470466179836229,0.2638088024894968,0.16507582855790873,1.7919122917685957,0.6948086775106227,0.6557446864818819,0.6055633972582002,0.7372245284040719,0.5444444303788978,0.41524553403794795,0.43759562039615685,0.4921324951542587,0.506355893586028,1.3584294258398097,0.6231395508340842,0.35709366120527597,0.20183705862298443,0.12155665197368687,1.3332740710302162,0.5393151506858219,0.38545104183148005,0.1630622528691739,0.10123212189613372,0.8989704667527365,0.5378323134680344,0.41068022613170796,0.18935412190474177,0.1107627471827648,0.941612174415329,0.46569921162240185,0.38209867493651434,0.19292794420429005,0.12928440044418804,1.2837885220930265,0.6701058647319574,0.6327751624623708,0.4770441821064886,0.40387177690214027,2.461166588339424,1.0469070147162922,0.8292750535247815,0.7542089512503917,0.673896175577711,2.4508576750749795,1.007508430651984,0.6816730067809792,0.3931700903981117,0.24543891477069366,3.282432859865705,1.1684196761800705,1.0277678878213616,0.8214095592076702,0.8597333786006401,3.0579901797715046,1.12129821787904,0.6652040932626327,0.3769794629150615,0.23626051945911092,7.0
BA16,24.112867141724166,4.509552869688381,1.2813826761752596,0.9394318894108521,0.7035697302516912,6.745891680325747,2.627049593139463,0.8602170166333648,0.3922256482948263,0.2122509503571542,5.336414523346551,2.7102898578297574,0.7058756884807552,0.3685756225588845,0.1872695592376918,3.9579683743907625,2.174944567412227,0.5900845490025701,0.3030620080335902,0.1569954851424431,1.8703094445460284,1.1593412695666374,0.4148106911766608,0.20898559778254383,0.13263680128620342,1.6609449906915408,1.2299831263536367,0.47668243261789883,0.30577313875352125,0.25313750878933605,1.1565609490243351,1.7082579342952895,0.5676179683317008,0.2838493693368833,0.14415983603286542,1.7584104454262937,3.2616001905093728,1.042924702237509,0.4399267875471483,0.17364549240570085,1.5769594646951124,2.673175704701803,1.256926802127879,0.8511730606214262,0.5382983896529764,3.1053046761651877,2.0663233904441207,0.7197668777680128,0.37353747049851255,0.2128668208190273,4.391374817486303,3.1430687168985996,0.9031504993111551,0.4672531342673411,0.24275591596273471,4.908914960824897,4.137830582853634,1.1101937083831939,0.5299183849964023,0.21603593313936056,8.249107552023336,3.2119904801102748,0.9171843174653558,0.4721075423003934,0.2709996130199446,11.246750718140381,3.679981642951804,0.8594285547834178,0.4348844853554413,0.20690663804517515,8.0
BA17,16.361685751660552,3.7587702493399835,1.6694632732663135,1.3395621344740036,1.0386616257938086,7.826543990185676,2.433816704387948,1.1827768086531856,0.9324424663109814,0.7441665776261907,4.541609683735601,2.3351475163014026,1.217137682253621,1.0260443042161194,0.7723926283789003,4.156565596492792,2.061946629626723,1.213205197533626,0.9587064096665695,0.7389606176821082,0.5979156235317871,0.7471981327440186,0.5219779838732754,0.5451005208927387,0.5149771005958026,1.0693009672025633,0.6898639668240378,0.49730412897421494,0.45512919095642473,0.42700414393013686,3.476520475438386,1.7345261084516006,0.9665867383859097,0.8300390533233158,0.6748512618850836,1.143525182359528,2.5790138856455243,1.0936569253600399,0.9504371006215978,0.729070730030936,0.9824125547469978,1.703819131563857,1.2135898242197465,1.0275690021779509,0.8011811430266856,2.165980034273586,1.6399063071045907,0.9441279095196727,0.7204405648426815,0.5148744662586808,4.179107261988317,3.048316446976992,1.785598180374868,1.4548626730438128,1.125060488848712,6.180512512420537,4.274065928669306,2.6007858574740577,2.1678214544570964,1.5825873282062233,5.289442371526401,2.8715240237552875,1.5141061292594413,1.1951182135334018,0.9413911379116586,18.388024442916713,4.3423270638954286,2.1132355694290825,1.7038445727530835,1.2348933562906024,6.5
BA18,39.51032922970804,6.2110232476984,1.7694381885152572,0.9623658702577885,0.6785608448737503,6.109829423520219,1.7584519760334227,0.8697246164883751,0.5829195604088102,0.5040183599591943,4.01998147530333,1.816157643859324,0.9815757280246515,0.6875081421918431,0.4890681025032911,2.6624388409888184,1.239136517492556,0.740628417512402,0.5200264839133361,0.4345410280672607,1.5280813899771446,0.6877334663674556,0.46762168770372475,0.3689545782639371,0.40961129538480445,1.4639283713147069,0.4189536031166084,0.21437826755766184,0.11937471891900554,0.1022859554571573,0.9254671939731053,0.7188212180314645,0.5309238583443544,0.35626687978268556,0.3416449486461746,1.2752163334100748,0.8767218269778589,0.6308296786159299,0.322001893191238,0.1873370147525154,7.725250465920699,2.5157369376746748,1.477225417728583,0.9085156537773339,0.6189410202249268,7.571687414041272,2.4619779057034554,1.4473040126163208,0.9150975736344857,0.6455387877302539,4.466749564888513,2.1386888897795413,1.2667948343705364,0.8618685859949531,0.6040109061078073,5.860638694317625,2.3337519478666255,1.4216095644940445,0.9366726771299375,0.6557615700389138,6.0877646902515234,2.3829243915055804,1.26940617557255,0.7702665286151471,0.5542137598186823,14.06495465350525,3.5781424625728864,1.919988660379886,1.2637570296909144,0.8546399834737061,7.5
BA19,7.5468813431522666,3.275151248838137,0.9855859883479433,0.4983587843805395,0.2963923216961129,2.341358959162571,1.9991012050781687,0.713734864699718,0.4490533930406248,0.3064912961181858,3.569927531596016,3.043707823503956,1.0085228967840179,0.5746961524670184,0.3610867754163477,2.0891374058680725,1.995768207257407,0.8827623062406397,0.7800397352078885,0.7006458653015603,0.8432916527708205,0.7235582132326023,0.47557518747992766,0.47890795121450375,0.5584332678269762,0.5657868811378391,1.2580994879568115,0.4383309693102285,0.22956205529025275,0.18370657801422854,0.8206369545165336,2.1286236298569916,0.8392953504453249,0.2996102907679002,0.20105278149878741,0.9724997479222937,3.0171648267378703,1.0490494234396737,0.3557045815752596,0.19010308746004728,1.7861443292116645,4.169996596243417,1.2070828493178054,0.4799688524634682,0.26921959393362255,1.9063404445668444,1.638407456991483,0.9359838249139728,0.5542911415941905,0.2994012626914436,2.849412368735169,2.7487939710872613,1.4463118844978833,1.077816061820858,0.7936698314512604,3.7525539637011778,3.5699518348481436,1.5827734219758052,0.9817964557580492,0.788610073405466,2.8002455528727337,2.445676577924864,1.1702395062643989,0.6919916588964852,0.41622953290780357,8.684980420318862,3.6085935163726623,1.2429993281149678,0.6279802853705513,0.3476406679998435,7.5
